fecha,campaign_id,canal,campaign_name,objetivo,marca,modelo_promocionado,impresiones,clicks,inversion_ars,leads_reportados_plataforma,ctr_pct,cpc_ars,cpl_plataforma_ars
2024-01-01,CAMP025,google_ads,Google Ads - Ford Maverick - whatsapp,whatsapp,Ford,Maverick,2572,105,88231.68,11,4.08,840.3,8021.06
2024-01-01,CAMP036,meta_ads,Meta Ads - Ford Territory - whatsapp,whatsapp,Ford,Territory,925,30,29921.79,2,3.24,997.39,14960.89
2024-01-01,CAMP031,meta_ads,Meta Ads - Volkswagen Polo - trafico,trafico,Volkswagen,Polo,1005,32,33145.41,1,3.18,1035.79,33145.41
2024-01-01,CAMP004,google_ads,Google Ads - Peugeot Expert - lead_form,lead_form,Peugeot,Expert,2109,27,54356.39,2,1.28,2013.2,27178.2
2024-01-01,CAMP041,meta_ads,Meta Ads - Toyota Corolla - lead_form,lead_form,Toyota,Corolla,972,11,13221.33,1,1.13,1201.94,13221.33
2024-01-01,CAMP001,google_ads,Google Ads - Peugeot 208 - lead_form,lead_form,Peugeot,208,2298,40,76030.39,2,1.74,1900.76,38015.19
2024-01-01,CAMP045,meta_ads,Meta Ads - Chevrolet S10 - lead_form,lead_form,Chevrolet,S10,1816,58,56202.28,4,3.19,969.0,14050.57
2024-01-01,CAMP011,google_ads,Google Ads - Peugeot 3008 - trafico,trafico,Peugeot,3008,1499,55,41940.0,4,3.67,762.55,10485.0
2024-01-01,CAMP006,google_ads,Google Ads - Toyota Corolla - whatsapp,whatsapp,Toyota,Corolla,644,12,18117.36,0,1.86,1509.78,
2024-01-01,CAMP032,meta_ads,Meta Ads - Fiat Pulse - lead_form,lead_form,Fiat,Pulse,2995,88,30107.23,6,2.94,342.13,5017.87
2024-01-01,CAMP028,google_ads,Google Ads - Volkswagen Amarok - remarketing,remarketing,Volkswagen,Amarok,1711,32,58457.48,2,1.87,1826.8,29228.74
2024-01-01,CAMP042,meta_ads,Meta Ads - Volkswagen Virtus - remarketing,remarketing,Volkswagen,Virtus,3625,54,73116.75,3,1.49,1354.01,24372.25
2024-01-01,CAMP022,google_ads,Google Ads - Toyota Hilux - lead_form,lead_form,Toyota,Hilux,3171,91,41283.31,4,2.87,453.66,10320.83
2024-01-01,CAMP037,meta_ads,Meta Ads - Peugeot Expert - trafico,trafico,Peugeot,Expert,4521,70,72229.06,1,1.55,1031.84,72229.06
2024-01-02,CAMP010,google_ads,Google Ads - Renault Kangoo - whatsapp,whatsapp,Renault,Kangoo,760,15,12415.15,0,1.97,827.68,
